"YEAR","MONTH ","N.º de prueba","VIV_DBO5","CHI_DBO5","GAV_DBO5","BUT_DBO5","SUR_DBO5","SOR_DBO5","VAL_DBO5","REJ_DBO5","VIV_SS","CHI_SS","GAV_SS","BUT_SS","SUR_SS","SOR_SS","VAL_SS","REJ_SS","VIV_PT","CHI_PT","GAV_PT","BUT_PT","SUR_PT","SOR_PT","VAL_PT","REJ_PT","VIV_NT","CHI_NT","GAV_NT","SOR_NT"
"2019","mayo","2","5","4","7","7","7","5","9","16","3","2","2.4","15","22","2.2","9.6","16","0.59","0.65","0.35","0.49","0.31","0.17","0.46","0.54","10.1","5.86","5.6","6.12"
"2019","junio","1","5","3","4","11","5","5","12","6","3","2","2.8","18","13","2","12","21","0.64","0.44","0.58","0.56","0.41","0.21","0.8","0.74","9.4","9.08","6.25","6.19"
"2019","junio","2","6","10","5","5","9","6","12","12","2","2","2","14","11","4.5","7","8","0.58","0.55","0.53","0.68","0.56","0.6","0.53","0.66","8.7","7.54","5.87","6.99"
"2019","julio","1","5","6","8","12","7","7","15","14","1","2","2.4","9","6","5","5","14","0.56","0.38","0.63","0.49","0.35","0.25","0.68","0.74","11.1","8.7","6.63","6.78"
"2019","julio","2","5","7","7","9","7","5","7","5","3","2","2","11","8","5.6","10","10","0.42","0.44","0.75","0.53","0.3","0.39","0.56","0.67","8.1","9.2","5.74","8.69"
"2019","agosto","1","5","5","9","9","5","8","9","10","2","5.7","5.3","11","11","7.2","18","11","0.61","0.21","0.73","0.45","0.74","0.44","0.45","0.62","9.6","6.88","7.68","6.2"
"2019","agosto","2","5","2","2","30","5","6","9","17","3","2.8","2.2","14","10","2.2","4","11","0.59","0.67","0.7","0.61","0.67","0.39","0.6","0.39","8.5","10.6","7.05","8.2"
"2019","septiembre","1","5","6","11","15","14","10","13","12","3","4.4","2.8","10","13","5.6","5.1","10","0.44","0.63","0.54","0.45","0.54","0.57","0.63","0.44","9.8","7.74","7.92","8.14"
"2019","septiembre","2","5","7","5","6","12","5","9","11","3","2","3","9","15","4.2","5","6.9","0.57","0.6","0.77","0.41","0.78","0.54","0.42","0.47","8.2","9.68","7.51","8.94"
"2019","octubre","1","5","3","4","5","5","5","12","13","3","2.2","4","9","11","23","46","52","0.62","0.69","0.64","0.62","0.71","0.35","0.66","0.63","12.6","12.6","8.76","7.91"
"2019","octubre","2","5","2","2","8","11","3","11","9","2","2","2.4","12","16","7.2","9.3","12","0.49","0.66","0.5","0.51","1","0.49","0.53","0.73","7.1","12.1","7.42","9.22"
"2019","noviembre","1","5","2","3","21","7","3","16","9","7","2","7.7","13","19","3.4","14","15","0.5","0.4","0.49","0.8","1.08","0.25","0.67","0.79","12.5","9.9","9.06","8.59"
"2019","noviembre","2","8","2","2","13","11","2","15","14","4","22","2","15","13","2.4","14","15","0.74","0.68","0.56","0.6","0.58","0.39","0.63","0.63","10.9","11","8.82","8.87"
"2019","diciembre","1","4.5","3","10","4.8","4.7","8","11","2","2","4.6","3.4","10","17","15","8.6","9.1","0.53","0.626","0.556","0.45","0.71","0.617","0.299","0.785","4.4","12.1","6.01","6.65"
"2019","diciembre","2","4.3","2","1.8","10","11","2","14","13","3","2.4","1.7","14","16","3.2","10","13","0.68","0.643","0.264","0.45","0.67","0.379","0.645","0.735","7.4","13.4","8.97","8.66"
"2020","enero","1","5","2","5","12","12","5","14","12","3","2","10","15","12","12","14","16","0.6","0.637","0.605","0.65","0.82","0.203","0.653","0.933","6.3","9.02","9.66","8.95"
"2020","enero","2","6","2","5","9","5","3","18","6","4","2.4","11","13","18","16","18","10","0.6","0.798","0.611","0.6","0.63","0.459","0.853","0.796","8.7","10.7","8.61","5.84"
"2020","febrero","1","5","3","4","5","8","5","15","15","3","2","6.4","17","11","4.6","13","11","0.69","0.71","0.765","0.67","0.59","0.482","0.502","0.703","8.1","11.3","7.87","9.57"
"2020","febrero","2","5","2","4","8","5","2","15","15","7","2.4","5","14","11","4.6","15","17","0.75","0.656","0.747","0.68","0.51","0.213","0.779","0.826","8.4","9.39","7.71","8.66"
"2020","marzo","1","5","2","4","5","5","3","23","14","4","2","9.2","5","21","9.5","24","10","0.66","0.703","0.752","0.59","0.43","0.54","1.36","0.856","9.7","11.4","9.66","19.3"
"2020","marzo","2","5","2","2","7","11","2","14","12","3","2","5.8","15","12","10","12","16","0.67","0.857","0.673","0.36","0.43","0.617","0.6","0.893","9.1","15.3","9.7","8.88"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
